accident_id,timestamp,latitude,longitude,severity,casualties,vehicles_involved,weather_condition,road_condition,light_condition
ACC-000484,2024-07-22T15:59:01.726207,41.941587928922125,-87.67204753535206,2,1,4,Clear,Dry,Daylight
ACC-000485,2024-07-26T15:13:18.726207,41.83658584917044,-87.57612774677743,4,0,1,Clear,Dry,Daylight
ACC-000486,2023-07-02T13:59:18.726207,41.86373512650294,-87.6293131065673,1,0,2,Cloudy,Dry,Daylight
ACC-000487,2023-05-06T21:57:19.726207,41.87721544677286,-87.65328792400528,4,3,4,Clear,Dry,Dark
ACC-000488,2023-07-19T08:11:35.726207,41.90884705455299,-87.64852204314074,3,1,4,Clear,Dry,Daylight
ACC-000489,2024-03-04T14:36:58.726207,41.8619295585994,-87.67143320368245,4,1,2,Rain,Dry,Daylight
ACC-000490,2024-01-16T15:04:05.726207,41.841412476109866,-87.73840782657427,1,0,3,Cloudy,Dry,Daylight
ACC-000491,2024-06-18T19:53:26.726207,41.945110299552915,-87.56412245895432,5,1,2,Rain,Dry,Dark
ACC-000492,2025-03-11T05:18:40.726207,41.79220071012655,-87.52757690508695,3,2,3,Rain,Dry,Dark
ACC-000493,2024-12-19T15:22:14.726207,41.79984068039588,-87.57548137604621,2,0,1,Rain,Unknown,Daylight
ACC-000494,2024-06-27T21:19:15.726207,41.92869173331927,-87.58724571226736,5,2,1,Rain,Dry,Dark
ACC-000495,2023-10-25T14:00:38.726207,41.939168505718165,-87.68545472384821,5,1,2,Rain,Wet,Daylight
ACC-000496,2023-05-16T06:28:29.726207,41.79234272084141,-87.53764710774095,5,3,2,Clear,Dry,Daylight
ACC-000497,2023-06-24T05:30:29.726207,41.904328961973,-87.71581935605577,3,1,4,Clear,Dry,Dark
ACC-000498,2024-03-05T05:48:24.726207,41.950466803989464,-87.52076985651873,3,2,3,Fog,Dry,Dark
ACC-000499,2024-03-18T21:42:07.726207,41.844613234566395,-87.73303666804122,2,0,1,Clear,Dry,Dark
ACC-000500,2023-08-30T18:13:14.726207,41.80626167520768,-87.69710799518185,3,1,2,Clear,Ice,Daylight
ACC-000501,2025-02-19T18:14:28.726207,41.86291915297289,-87.71044798304978,5,1,1,Clear,Snow,Daylight
ACC-000502,2023-07-12T03:30:44.726207,41.8797964386577,-87.52113560227544,4,3,2,Clear,Dry,Dark
ACC-000503,2025-02-23T15:28:46.726207,41.90818222158288,-87.56388812706327,1,0,4,Clear,Dry,Daylight
ACC-000504,2023-06-14T06:37:25.726207,41.82656337292526,-87.65003580008167,1,0,3,Clear,Dry,Daylight
ACC-000505,2024-05-27T10:05:27.726207,41.93517691613881,-87.59865549542151,4,2,2,Clear,Dry,Daylight
ACC-000506,2024-10-25T09:19:30.726207,41.887344957051496,-87.57937202651263,2,0,1,Clear,Dry,Daylight
ACC-000507,2024-04-21T11:38:49.726207,41.85239451719072,-87.6394698601888,5,3,3,Fog,Wet,Daylight
ACC-000508,2024-07-14T12:36:18.726207,41.874635115039624,-87.58571282678936,5,3,2,Fog,Dry,Daylight
ACC-000509,2024-11-03T19:43:02.726207,41.830668197983584,-87.51117332259743,5,3,2,Clear,Dry,Dark
ACC-000510,2023-06-16T11:47:12.726207,41.932582114293474,-87.6467910163788,3,1,3,Clear,Dry,Daylight
ACC-000511,2024-07-01T12:30:47.726207,41.91697874960062,-87.5654265555864,4,0,4,Clear,Wet,Daylight
ACC-000512,2024-12-03T22:52:31.726207,41.84010210639824,-87.61321970464105,4,0,2,Clear,Unknown,Dark
ACC-000513,2023-11-30T17:56:08.726207,41.96240795871981,-87.65415029060289,4,0,3,Clear,Dry,Daylight
ACC-000514,2023-05-06T23:36:40.726207,41.868378233856504,-87.63832497703203,5,4,1,Clear,Wet,Dark
ACC-000515,2023-10-19T02:37:56.726207,41.884225091351475,-87.56990698131014,5,3,1,Clear,Snow,Dark
ACC-000516,2023-05-04T02:21:11.726207,41.95709705220271,-87.65801145835201,3,2,1,Clear,Dry,Dark
ACC-000517,2024-05-17T19:39:28.726207,41.876777237530845,-87.74039969779633,5,1,2,Rain,Dry,Dark
ACC-000518,2025-01-09T23:18:07.726207,41.79415317537237,-87.6896726138299,5,1,2,Fog,Ice,Dark
ACC-000519,2024-11-21T12:24:03.726207,41.8523428006913,-87.74249535812454,5,3,2,Clear,Wet,Daylight
ACC-000520,2024-03-08T08:25:35.726207,41.94149495980733,-87.51231966021656,4,2,2,Clear,Dry,Daylight
ACC-000521,2024-04-16T23:52:20.726207,41.788713428203565,-87.70956721208037,3,2,3,Snow,Dry,Dark
ACC-000522,2024-06-10T02:02:48.726207,41.8151321509731,-87.67200403036217,3,0,3,Clear,Snow,Dark
ACC-000523,2023-12-28T19:43:20.726207,41.890732262320775,-87.56656287585069,5,1,1,Rain,Wet,Dark
ACC-000524,2024-01-06T11:44:11.726207,41.84958083839956,-87.73306002456272,2,1,1,Clear,Slush,Daylight
ACC-000525,2024-12-21T14:53:38.726207,41.797462504845925,-87.56139722304782,2,1,4,Clear,Dry,Daylight
ACC-000526,2024-11-03T11:07:59.726207,41.893469766731435,-87.55553767077018,2,1,3,Rain,Snow,Daylight
ACC-000527,2023-08-09T19:43:08.726207,41.80449023106557,-87.56754004174884,2,0,3,Clear,Dry,Dark
ACC-000528,2023-09-07T08:49:50.726207,41.884199971109,-87.51791538271712,2,1,3,Clear,Dry,Daylight
ACC-000529,2024-10-28T07:47:52.726207,41.79790962645587,-87.60192034999002,3,2,1,Rain,Wet,Daylight
ACC-000530,2023-06-17T01:32:57.726207,41.94389822620579,-87.74542304146779,4,2,2,Clear,Dry,Dark
ACC-000531,2023-05-18T04:23:28.726207,41.917148744429745,-87.70831937068633,5,2,1,Rain,Wet,Dark
ACC-000532,2023-12-02T21:19:33.726207,41.949113563464245,-87.56457184983506,4,2,1,Clear,Dry,Dark
ACC-000533,2023-09-24T03:15:26.726207,41.86323571218429,-87.54098375561475,2,0,4,Cloudy,Wet,Dark
ACC-000534,2023-09-26T17:18:45.726207,41.964709615066965,-87.51905768188816,3,2,1,Rain,Dry,Daylight
ACC-000535,2025-04-05T15:19:59.726207,41.89628961215196,-87.69495153334218,4,2,2,Clear,Dry,Daylight
ACC-000536,2023-08-22T21:26:59.726207,41.932111419131594,-87.51830336859544,4,2,4,Clear,Dry,Dark
ACC-000537,2023-10-01T11:05:54.726207,41.8786231417314,-87.67042073305267,4,3,1,Rain,Dry,Daylight
ACC-000538,2025-04-11T13:33:57.726207,41.78896555262007,-87.55973516637413,3,1,1,Clear,Wet,Daylight
ACC-000539,2024-08-26T07:45:27.726207,41.79105783227651,-87.56066610693998,2,1,1,Clear,Dry,Daylight
ACC-000540,2025-02-22T09:40:33.726207,41.80873512843532,-87.65369395021254,2,1,4,Clear,Dry,Daylight
ACC-000541,2025-02-13T04:35:10.726207,41.826456414334686,-87.51007246992376,3,1,2,Clear,Wet,Dark
ACC-000542,2024-04-17T13:31:29.726207,41.898061035048734,-87.70443137008554,4,3,2,Clear,Wet,Daylight
ACC-000543,2024-12-30T01:01:13.726207,41.913359823000455,-87.51985652422849,2,1,2,Clear,Wet,Dark
ACC-000544,2024-01-25T20:16:31.726207,41.82135222858609,-87.74610363875267,5,3,3,Rain,Dry,Dark
ACC-000545,2023-05-31T22:40:39.726207,41.88134901470931,-87.55532260784757,4,2,1,Fog,Dry,Dark
ACC-000546,2023-05-31T12:13:12.726207,41.90878157653831,-87.54723647509536,3,1,3,Rain,Dry,Daylight
ACC-000547,2025-03-31T12:18:25.726207,41.9293553761,-87.74236542330576,4,3,4,Clear,Ice,Daylight
ACC-000548,2024-08-04T01:21:46.726207,41.80709662291969,-87.5716581685184,4,1,4,Rain,Wet,Dark
ACC-000549,2025-02-12T04:13:20.726207,41.911917427363875,-87.64254985968127,4,2,1,Unknown,Dry,Dark
ACC-000550,2023-07-25T18:56:45.726207,41.898769724693636,-87.54125365333863,2,0,3,Cloudy,Dry,Daylight
ACC-000551,2023-12-24T05:09:28.726207,41.86328604731965,-87.75003542221408,4,2,2,Rain,Dry,Dark
ACC-000552,2023-07-05T07:43:24.726207,41.825454989437006,-87.56160353414673,5,3,4,Clear,Dry,Daylight
ACC-000553,2024-06-21T20:18:20.726207,41.86539044791877,-87.717200819417,2,1,3,Clear,Dry,Dark
ACC-000554,2024-11-25T11:54:53.726207,41.78900355999679,-87.6318474841533,2,1,2,Unknown,Snow,Daylight
ACC-000555,2024-01-21T02:59:21.726207,41.82718605214713,-87.66110598614465,2,0,4,Clear,Wet,Dark
ACC-000556,2024-06-04T20:51:08.726207,41.940825251606455,-87.62365811481429,4,2,2,Rain,Wet,Dark
ACC-000557,2024-10-31T06:44:56.726207,41.831084004358004,-87.6907604851123,3,0,1,Clear,Dry,Daylight
ACC-000558,2023-12-18T17:46:17.726207,41.89545757631643,-87.60898556316657,3,1,2,Clear,Dry,Daylight
ACC-000559,2024-02-21T07:53:58.726207,41.96445674868485,-87.53886986466476,1,0,2,Clear,Dry,Daylight
ACC-000560,2024-08-21T09:26:02.726207,41.8764255206686,-87.54565393275803,3,1,4,Clear,Wet,Daylight
ACC-000561,2023-04-19T02:28:42.726207,41.88685432544314,-87.58942589020528,3,1,2,Clear,Dry,Dark
ACC-000562,2024-12-18T02:35:02.726207,41.8638180020522,-87.63731688137808,5,2,2,Clear,Dry,Dark
ACC-000563,2024-02-02T07:01:09.726207,41.85897149640478,-87.6389834798967,2,0,2,Fog,Dry,Daylight
ACC-000564,2023-09-19T08:05:32.726207,41.939636440464966,-87.56900062633234,2,0,2,Rain,Dry,Daylight
ACC-000565,2024-04-07T17:20:08.726207,41.96699199389564,-87.58207106597136,2,0,1,Rain,Wet,Daylight
ACC-000566,2023-09-23T20:45:23.726207,41.806477605377154,-87.52534418870852,3,2,4,Clear,Dry,Dark
ACC-000567,2024-09-08T22:14:17.726207,41.813155565185106,-87.70795696947329,3,2,1,Clear,Wet,Dark
ACC-000568,2024-09-03T20:46:59.726207,41.79749235643441,-87.5601755588449,3,1,2,Rain,Dry,Dark
ACC-000569,2024-01-18T06:19:20.726207,41.796466184432965,-87.67271353157521,2,0,2,Clear,Dry,Daylight
ACC-000570,2024-09-16T08:13:42.726207,41.96115346574042,-87.56221359358022,1,0,1,Clear,Dry,Daylight
ACC-000571,2024-02-09T14:49:59.726207,41.95507125833583,-87.60263548666984,3,1,1,Rain,Dry,Daylight
ACC-000572,2024-02-10T09:54:59.726207,41.81748058889278,-87.58347168425792,1,0,3,Clear,Dry,Daylight
ACC-000573,2023-06-05T10:02:03.726207,41.857980102109586,-87.73836693150261,4,2,3,Clear,Dry,Daylight
ACC-000574,2024-03-04T13:33:06.726207,41.80068832764415,-87.71784649633902,5,2,4,Clear,Wet,Daylight
ACC-000575,2023-07-07T05:07:26.726207,41.865378447530816,-87.68479685921545,5,3,2,Rain,Dry,Dark
ACC-000576,2023-07-01T03:35:00.726207,41.93096904205382,-87.6660077492514,5,1,1,Clear,Dry,Dark
ACC-000577,2023-09-29T11:54:28.726207,41.926122763561246,-87.71165424100973,5,2,3,Clear,Dry,Daylight
ACC-000578,2023-05-02T04:22:56.726207,41.95432541410896,-87.59443483774112,3,2,4,Cloudy,Dry,Dark
ACC-000579,2024-12-06T14:19:45.726207,41.950476147314966,-87.68777576262877,4,1,3,Clear,Ice,Daylight
ACC-000580,2023-06-30T03:43:24.726207,41.826606609105404,-87.67975143201507,4,1,2,Clear,Dry,Dark
ACC-000581,2024-06-10T20:43:17.726207,41.80686919939383,-87.72559332948076,3,1,4,Rain,Snow,Dark
ACC-000582,2025-01-31T00:47:23.726207,41.96751225851912,-87.53607539917006,5,4,2,Clear,Snow,Dark
ACC-000583,2024-01-28T11:41:27.726207,41.868500433991755,-87.67751847098408,5,1,3,Rain,Wet,Daylight
ACC-000584,2023-07-20T11:26:00.726207,41.943360397443065,-87.74433658943086,5,4,3,Clear,Wet,Daylight
ACC-000585,2024-09-26T08:32:45.726207,41.924791547638264,-87.5323589226174,5,1,1,Rain,Wet,Daylight
ACC-000586,2024-06-04T16:01:17.726207,41.812054091369326,-87.62922754438492,3,1,2,Rain,Dry,Daylight
ACC-000587,2024-05-24T10:12:58.726207,41.924359441462705,-87.67702319528432,1,0,1,Clear,Dry,Daylight
ACC-000588,2023-09-12T23:35:10.726207,41.878356803488586,-87.5866001499627,4,2,1,Clear,Dry,Dark
ACC-000589,2024-01-24T07:12:39.726207,41.87648959048767,-87.74489637115741,4,2,4,Clear,Dry,Daylight
ACC-000590,2024-07-07T15:56:08.726207,41.87312861144893,-87.70401499001922,5,2,2,Clear,Wet,Daylight
ACC-000591,2024-05-15T09:36:15.726207,41.82364728466902,-87.73157426061641,4,1,4,Fog,Dry,Daylight
ACC-000592,2023-12-29T05:25:34.726207,41.92192617130156,-87.55163025398622,5,2,3,Clear,Ice,Dark
ACC-000593,2024-08-30T23:50:45.726207,41.92589646079863,-87.73565336937287,5,1,2,Clear,Dry,Dark
ACC-000594,2025-02-13T00:44:25.726207,41.84525530858559,-87.66063943523781,5,2,4,Clear,Snow,Dark
ACC-000595,2024-11-29T04:12:12.726207,41.91287768020362,-87.65572786579999,4,2,4,Rain,Dry,Dark
ACC-000596,2024-12-04T14:25:09.726207,41.96453708096827,-87.63224467247207,2,0,2,Rain,Wet,Daylight
ACC-000597,2023-07-11T18:41:43.726207,41.83890154258043,-87.67163864499307,5,2,4,Clear,Dry,Daylight
ACC-000598,2023-04-17T10:59:16.726207,41.96021619374436,-87.72168716850612,5,3,3,Clear,Dry,Daylight
ACC-000599,2023-07-28T20:47:14.726207,41.94280676800117,-87.69199093621238,3,0,1,Clear,Dry,Dark
ACC-000600,2024-12-05T04:16:20.726207,41.811386926714505,-87.60606758924725,2,0,4,Clear,Dry,Dark
ACC-000601,2024-12-11T12:18:55.726207,41.86999114207001,-87.58707662262869,3,0,3,Clear,Dry,Daylight
ACC-000602,2024-11-15T02:27:11.726207,41.88768408991691,-87.69674088552483,2,1,2,Clear,Dry,Dark
ACC-000603,2023-05-08T02:12:46.726207,41.80046319117967,-87.6592964548117,2,1,4,Clear,Dry,Dark
ACC-000604,2024-04-15T15:05:04.726207,41.790232500265034,-87.74880835816889,4,0,3,Snow,Wet,Daylight
ACC-000605,2024-05-26T11:42:02.726207,41.90278109414337,-87.62824464460455,1,0,4,Clear,Dry,Daylight
ACC-000606,2023-06-30T19:14:47.726207,41.8563352302487,-87.6707642454091,3,2,4,Snow,Dry,Dark
ACC-000607,2023-11-09T18:55:58.726207,41.81887325173501,-87.54946486088893,4,2,3,Clear,Dry,Daylight
ACC-000608,2024-12-23T11:16:53.726207,41.845996496765636,-87.54863093297868,4,1,2,Clear,Dry,Daylight
ACC-000609,2024-01-22T15:51:52.726207,41.95754738449194,-87.71391434892831,5,0,4,Clear,Dry,Daylight
ACC-000610,2023-08-19T19:59:57.726207,41.939444879995115,-87.5650444954448,2,1,3,Clear,Dry,Dark
ACC-000611,2024-01-02T22:52:45.726207,41.91877397825494,-87.58315590057211,3,1,1,Clear,Wet,Dark
ACC-000612,2024-10-01T15:22:37.726207,41.9195203896833,-87.61992174014412,4,2,1,Cloudy,Dry,Daylight
ACC-000613,2023-09-11T02:40:05.726207,41.914242358482056,-87.52038231304626,5,3,4,Rain,Dry,Dark
ACC-000614,2025-03-16T04:23:30.726207,41.806454041359565,-87.69990535173221,5,1,3,Rain,Dry,Dark
ACC-000615,2024-12-04T09:32:34.726207,41.87178295102016,-87.63521298007294,3,0,4,Rain,Wet,Daylight
ACC-000616,2024-05-02T15:38:04.726207,41.94307139628266,-87.52993415439191,5,0,1,Clear,Dry,Daylight
ACC-000617,2023-09-18T02:20:41.726207,41.795353297334756,-87.67187968442927,2,0,3,Cloudy,Dry,Dark
ACC-000618,2025-01-09T15:05:05.726207,41.81974383874599,-87.63050848501402,3,0,4,Clear,Dry,Daylight
ACC-000619,2024-12-30T05:46:17.726207,41.94559097582923,-87.58893928890161,3,1,3,Fog,Wet,Dark
ACC-000620,2024-06-14T20:30:17.726207,41.908624327944324,-87.52195393383556,3,0,2,Rain,Dry,Dark
ACC-000621,2023-10-19T19:45:07.726207,41.78978165598556,-87.7073047397709,5,0,2,Clear,Ice,Dark
ACC-000622,2024-11-28T02:52:58.726207,41.87497117323998,-87.71787989767859,3,1,4,Clear,Dry,Dark
ACC-000623,2024-04-17T09:48:23.726207,41.81530534895429,-87.539915712436,3,1,2,Clear,Dry,Daylight
ACC-000624,2024-08-09T19:11:55.726207,41.85668435729712,-87.71998887624113,4,1,3,Snow,Dry,Dark
ACC-000625,2023-11-20T08:02:15.726207,41.85474725359952,-87.56448252981633,3,1,1,Rain,Dry,Daylight
ACC-000626,2023-04-28T07:36:50.726207,41.79653563935332,-87.52108214806181,5,1,3,Rain,Dry,Daylight
ACC-000627,2024-02-09T19:31:05.726207,41.83988535773263,-87.70535371390419,3,1,2,Rain,Dry,Dark
ACC-000628,2024-04-20T02:48:29.726207,41.83583438949853,-87.5605712271128,5,2,2,Clear,Dry,Dark
ACC-000629,2023-08-22T04:18:11.726207,41.89276570524908,-87.58370362747935,4,1,1,Clear,Ice,Dark
ACC-000630,2023-06-11T00:03:31.726207,41.84519596502629,-87.65200231228543,2,1,1,Unknown,Dry,Dark
ACC-000631,2023-09-09T08:31:21.726207,41.8138790413347,-87.6634989637977,2,1,2,Rain,Wet,Daylight
ACC-000632,2023-11-17T04:42:12.726207,41.885528133502554,-87.64480485981673,4,1,3,Clear,Dry,Dark
ACC-000633,2025-01-31T11:04:12.726207,41.88258182404339,-87.6532423906137,5,3,3,Fog,Wet,Daylight
ACC-000634,2024-09-13T03:12:51.726207,41.92712833131811,-87.52967053287821,3,2,1,Snow,Dry,Dark
ACC-000635,2024-11-17T04:34:55.726207,41.817366691330356,-87.74033883783393,4,3,1,Rain,Dry,Dark
ACC-000636,2023-08-31T09:06:03.726207,41.89143395975725,-87.56256577761344,2,0,1,Fog,Snow,Daylight
ACC-000637,2024-11-13T20:32:23.726207,41.93192330374876,-87.71587269035176,4,2,1,Rain,Dry,Dark
ACC-000638,2024-07-08T23:12:07.726207,41.83859123913341,-87.74290854211131,3,1,4,Fog,Dry,Dark
ACC-000639,2024-10-01T01:04:36.726207,41.90363115647603,-87.61172357818636,5,0,2,Rain,Dry,Dark
ACC-000640,2023-11-27T22:28:16.726207,41.86086684902679,-87.60246757085409,3,2,3,Clear,Dry,Dark
ACC-000641,2024-10-09T18:46:55.726207,41.81333868950952,-87.72578282948383,3,1,4,Snow,Dry,Daylight
ACC-000642,2024-04-29T20:26:22.726207,41.7906823790213,-87.7365720250842,2,1,3,Clear,Wet,Dark
ACC-000643,2024-02-07T03:11:50.726207,41.94327996135743,-87.5620146595435,3,1,1,Rain,Dry,Dark
ACC-000644,2023-06-10T01:30:51.726207,41.87145950249352,-87.73317502763719,3,2,4,Clear,Dry,Dark
ACC-000645,2024-04-25T05:02:46.726207,41.887503475129826,-87.52343851383871,2,1,1,Clear,Dry,Dark
ACC-000646,2023-11-14T14:40:53.726207,41.89113776037382,-87.6764227477779,5,3,3,Clear,Dry,Daylight
ACC-000647,2024-04-04T21:41:43.726207,41.8732279300908,-87.60130614648799,4,1,1,Clear,Dry,Dark
ACC-000648,2023-07-01T16:27:53.726207,41.96278975870012,-87.65975203987263,2,1,1,Clear,Dry,Daylight
ACC-000649,2024-07-01T02:45:31.726207,41.96776856191785,-87.73621153061987,4,2,1,Rain,Dry,Dark
ACC-000650,2024-03-26T18:30:56.726207,41.96201170158465,-87.56250958665055,2,0,2,Snow,Wet,Daylight
ACC-000651,2023-11-24T08:09:51.726207,41.96045116527872,-87.62370771273729,5,2,2,Clear,Dry,Daylight
ACC-000652,2023-05-19T11:47:41.726207,41.79867963214443,-87.71986906989015,3,2,4,Clear,Dry,Daylight
ACC-000653,2023-05-19T06:06:26.726207,41.883441077896094,-87.65002279634791,5,3,3,Cloudy,Dry,Daylight
ACC-000654,2024-02-14T00:46:25.726207,41.949057691308326,-87.71584038744415,4,1,3,Rain,Dry,Dark
ACC-000655,2023-06-30T07:59:01.726207,41.904539510440856,-87.64215474947825,2,1,2,Clear,Dry,Daylight
ACC-000656,2024-06-30T15:42:51.726207,41.89008500369088,-87.68146550119552,4,2,4,Clear,Wet,Daylight
ACC-000657,2025-01-28T00:29:50.726207,41.95148783249225,-87.51145073600128,3,1,3,Clear,Dry,Dark
ACC-000658,2024-02-02T15:59:35.726207,41.84798146157546,-87.54027553543487,5,1,3,Clear,Dry,Daylight
ACC-000659,2024-03-25T01:47:03.726207,41.89526938022011,-87.52113362091974,5,3,2,Clear,Dry,Dark
ACC-000660,2023-05-09T08:43:08.726207,41.93857191370772,-87.67058810294284,3,2,3,Clear,Dry,Daylight
ACC-000661,2024-01-18T16:14:10.726207,41.890134938004365,-87.60889015976069,5,0,4,Clear,Dry,Daylight
ACC-000662,2023-05-10T10:41:40.726207,41.86919230950626,-87.60823685679821,3,0,4,Clear,Dry,Daylight
ACC-000663,2024-06-18T22:53:24.726207,41.92026923793765,-87.5849961926891,3,0,2,Clear,Dry,Dark
ACC-000664,2024-01-19T08:22:32.726207,41.850838150459204,-87.68228963637779,3,2,4,Rain,Dry,Daylight
ACC-000665,2024-08-27T01:31:05.726207,41.929772473229896,-87.64532599431104,2,1,2,Clear,Snow,Dark
ACC-000666,2024-02-28T09:23:54.726207,41.941067006750096,-87.6459101880791,4,1,1,Fog,Dry,Daylight
ACC-000667,2023-09-11T18:23:51.726207,41.89052470962374,-87.54988948487541,4,2,3,Fog,Ice,Daylight
ACC-000668,2024-06-04T18:03:03.726207,41.92528029862384,-87.6998545065452,1,0,2,Clear,Dry,Daylight
ACC-000669,2024-11-17T08:15:33.726207,41.89350339966338,-87.53717095673406,1,0,4,Clear,Dry,Daylight
ACC-000670,2025-03-15T01:11:36.726207,41.8535661012932,-87.59786175690245,4,2,4,Rain,Dry,Dark
ACC-000671,2024-08-08T04:45:45.726207,41.79201423756406,-87.52034971179266,5,1,3,Rain,Dry,Dark
ACC-000672,2023-09-25T21:01:33.726207,41.84465137193017,-87.5164739905911,2,1,4,Cloudy,Ice,Dark
ACC-000673,2023-05-04T10:43:21.726207,41.921048685595146,-87.63075882824468,5,2,3,Clear,Snow,Daylight
ACC-000674,2023-11-14T20:48:09.726207,41.90187768331624,-87.61383701852641,4,2,2,Snow,Dry,Dark
ACC-000675,2024-01-10T23:01:45.726207,41.928231081041645,-87.71001725689116,2,1,2,Clear,Dry,Dark
ACC-000676,2024-08-25T13:40:23.726207,41.87797647737567,-87.68510047383646,2,0,1,Clear,Dry,Daylight
ACC-000677,2023-07-27T14:16:53.726207,41.79166288820096,-87.64067908700373,2,0,4,Rain,Dry,Daylight
ACC-000678,2024-09-16T11:16:35.726207,41.90352848921112,-87.68935153644114,1,0,2,Clear,Dry,Daylight
ACC-000679,2024-06-04T13:17:27.726207,41.9021108141462,-87.63661587841965,5,1,1,Rain,Dry,Daylight
ACC-000680,2024-07-18T18:22:58.726207,41.905096591351715,-87.70468406576242,5,2,3,Rain,Dry,Daylight
ACC-000681,2023-07-29T10:32:05.726207,41.89802525251381,-87.64916578734912,1,0,2,Clear,Dry,Daylight
ACC-000682,2023-06-02T14:44:47.726207,41.91910263934021,-87.52437464121104,3,0,3,Rain,Dry,Daylight
ACC-000683,2024-10-30T17:26:53.726207,41.882958292110175,-87.5293011935833,5,1,4,Snow,Dry,Daylight
ACC-000684,2023-05-12T15:10:55.726207,41.932898756329436,-87.62955515280059,4,2,4,Clear,Dry,Daylight
ACC-000685,2024-05-16T17:32:36.726207,41.90037110010709,-87.55978080454008,5,0,2,Cloudy,Dry,Daylight
ACC-000686,2024-04-17T13:14:04.726207,41.85401290624012,-87.65600638126756,5,1,4,Cloudy,Dry,Daylight
ACC-000687,2024-02-15T11:29:53.726207,41.96450676308116,-87.5237081174264,3,1,4,Clear,Dry,Daylight
ACC-000688,2024-07-05T17:59:23.726207,41.84690630208371,-87.69302924643827,4,2,4,Fog,Wet,Daylight
ACC-000689,2024-03-16T23:43:02.726207,41.89798608458798,-87.69109782023551,5,2,2,Cloudy,Dry,Dark
ACC-000690,2025-01-24T17:19:34.726207,41.8982369891042,-87.72100319589275,3,1,4,Clear,Ice,Daylight
ACC-000691,2024-06-03T07:55:29.726207,41.80030906726907,-87.51660537562547,3,0,3,Clear,Unknown,Daylight
ACC-000692,2025-04-09T09:55:48.726207,41.813394939579766,-87.59770837569245,3,0,4,Cloudy,Unknown,Daylight
ACC-000693,2024-11-26T05:30:13.726207,41.94446593507443,-87.62555701889207,4,1,3,Clear,Dry,Dark
ACC-000694,2025-01-31T09:46:12.726207,41.84807830700578,-87.56951075294495,3,1,4,Clear,Dry,Daylight
ACC-000695,2025-04-03T05:34:44.726207,41.944234587144145,-87.52468978011356,4,2,4,Rain,Dry,Dark
ACC-000696,2024-10-03T21:22:52.726207,41.92116135262087,-87.59738999067332,4,1,1,Clear,Dry,Dark
ACC-000697,2023-07-02T19:40:46.726207,41.86719739439064,-87.55916406072646,2,0,1,Clear,Ice,Dark
ACC-000698,2024-06-19T13:22:21.726207,41.81969903613804,-87.5868678746592,3,0,1,Fog,Dry,Daylight
ACC-000699,2025-04-10T02:40:06.726207,41.86053506261106,-87.68416954289373,2,1,3,Clear,Dry,Dark
ACC-000700,2024-09-12T19:56:07.726207,41.94255926529557,-87.62946112519738,2,1,1,Clear,Dry,Dark
ACC-000701,2024-08-31T15:49:01.726207,41.84861191192331,-87.64488134340989,5,0,4,Fog,Dry,Daylight
ACC-000702,2024-11-29T01:59:21.726207,41.93466509173096,-87.74688124065607,4,2,3,Rain,Dry,Dark
ACC-000703,2024-03-06T19:14:36.726207,41.94230059015562,-87.67917413131806,2,0,2,Cloudy,Snow,Dark
ACC-000704,2024-02-29T15:55:08.726207,41.94255207040595,-87.53571524017772,4,1,4,Clear,Wet,Daylight
ACC-000705,2025-03-04T21:21:27.726207,41.79101131388887,-87.69058328351439,4,3,2,Rain,Dry,Dark
ACC-000706,2024-11-20T18:42:19.726207,41.962996153657414,-87.50953438936489,3,1,4,Clear,Wet,Daylight
ACC-000707,2023-04-27T05:50:45.726207,41.81192391144828,-87.53535258348022,4,1,2,Clear,Dry,Dark
ACC-000708,2024-04-24T19:22:22.726207,41.789691539141394,-87.61615261377915,5,2,2,Clear,Dry,Dark
ACC-000709,2024-05-27T16:34:42.726207,41.82634371120373,-87.55887119618434,5,0,2,Rain,Dry,Daylight
ACC-000710,2024-02-04T18:45:30.726207,41.803096853028464,-87.5867863789542,3,0,3,Clear,Dry,Daylight
ACC-000711,2024-03-21T08:01:07.726207,41.81338866334886,-87.62752761338817,2,1,3,Clear,Dry,Daylight
ACC-000712,2023-09-18T10:10:30.726207,41.815104233565805,-87.61506323849756,3,2,2,Clear,Wet,Daylight
ACC-000713,2025-01-26T09:00:03.726207,41.850674960213425,-87.6914238405094,2,0,2,Rain,Ice,Daylight
ACC-000714,2024-10-21T23:15:06.726207,41.956049987726004,-87.66798131957452,4,2,4,Clear,Wet,Dark
ACC-000715,2024-01-31T23:59:04.726207,41.93834573245923,-87.6501821656826,5,1,1,Rain,Dry,Dark
ACC-000716,2024-06-30T18:55:49.726207,41.842141614604735,-87.60597768710008,1,0,1,Clear,Dry,Daylight
ACC-000717,2024-12-11T11:42:30.726207,41.79066076992103,-87.6636995953004,4,1,4,Clear,Dry,Daylight
ACC-000718,2024-02-27T15:01:34.726207,41.89426918442882,-87.6141303053628,3,1,2,Rain,Dry,Daylight
ACC-000719,2025-02-08T22:19:42.726207,41.903684116162225,-87.54523992110622,5,2,3,Clear,Ice,Dark
ACC-000720,2025-01-01T17:53:28.726207,41.790092694534316,-87.67631677076224,2,1,4,Clear,Wet,Daylight
